Step,AgentID,State,Health,Row,Col,Age,Risk,Strategy,FamilyID,EscapeStep,CellsTraversed,HazardCellsCrossed,StepsInSmoke,StepsInFire,CommsReceived,RescueCompleted,ExitChosen_r,ExitChosen_c
5,27,rescuing,100,6,15,68,0.6844042539323728,least_crowded_exit,2.0,-1,4,0,0,0,3,False,14,1
5,8,evacuating,100,8,18,33,0.7893380290822328,nearest_exit,,-1,3,0,0,0,3,False,14,18
5,26,rescuing,100,1,6,79,0.43840598879213033,nearest_exit,3.0,-1,2,0,0,0,1,False,1,18
5,21,evacuating,100,7,14,75,0.7917203152241724,least_crowded_exit,3.0,-1,1,0,0,0,3,False,1,18
5,25,rescuing,100,8,10,36,0.7281034854352972,safest_exit,3.0,-1,4,0,0,0,3,False,14,1
5,3,evacuating,100,3,10,73,0.42888182083979043,nearest_exit,,-1,1,0,0,0,1,False,1,18
6,2,dead,0,5,2,45,0.44484094592510204,safest_exit,,-1,0,0,0,2,1,False,1,18
6,9,rescuing,100,3,9,52,0.25327205771332323,least_crowded_exit,0.0,-1,1,0,0,0,4,False,14,1
6,29,evacuating,98,9,1,30,0.4893371293234636,nearest_exit,,-1,4,1,2,0,2,False,14,1
6,4,escaped,100,14,1,61,0.6832606795678805,nearest_exit,,4,2,0,0,0,3,False,14,1
6,18,rescuing,100,9,3,72,0.8410935864065021,least_crowded_exit,1.0,-1,5,0,0,0,5,False,14,1
6,27,rescuing,100,6,15,68,0.6844042539323728,least_crowded_exit,2.0,-1,4,0,0,0,6,False,14,1
6,16,evacuating,100,1,9,71,0.8994259747301813,nearest_exit,4.0,-1,2,0,0,0,4,False,1,18
6,26,rescuing,100,1,6,79,0.43840598879213033,nearest_exit,3.0,-1,2,0,0,0,2,False,1,18
6,5,evacuating,100,8,10,59,0.6227643906126332,least_crowded_exit,5.0,-1,3,0,0,0,6,True,14,1
6,1,rescuing,100,2,10,60,0.1754606371935058,safest_exit,1.0,-1,3,0,0,0,4,False,1,18
6,7,evacuating,100,14,14,69,0.6825708707529461,safest_exit,,-1,2,0,0,0,5,False,14,18
6,28,evacuating,100,5,15,63,0.5446146587244945,nearest_exit,,-1,2,0,0,0,6,False,1,18
6,17,rescuing,100,2,9,23,0.11180628519652043,least_crowded_exit,2.0,-1,3,0,0,0,2,False,14,1
6,24,evacuating,100,12,14,68,0.31216244653772157,nearest_exit,5.0,-1,1,0,0,0,6,True,14,18
6,21,evacuating,100,6,14,75,0.7917203152241724,least_crowded_exit,3.0,-1,2,0,0,0,5,False,1,18
6,12,escaped,100,14,18,77,0.29984515830568037,nearest_exit,,5,2,0,0,0,6,False,14,18
6,6,escaped,100,1,18,43,0.17873429692156712,safest_exit,0.0,5,3,0,0,0,6,False,1,18
